name,address,addressObj/country,addressObj/postalcode,addressObj/state,cuisine,description,DietaryRestrictions,Dishes,Features,latitude,longitude,localAddress,Meal Type,numberOfReviews,phone,rankingDenominator,rankingPosition,rating,rawRanking
Udupi Deluxe,"60 C 1'st Main Road Brookfield, Kundalahalli, Near Andhra Bank, Bengaluru 560037 India",India,560037,Karnataka,Indian Asian       ,,Vegetarian Friendly   ,                       ,Table Service                            ,13.05895,77.56478,"60 C 1'st Main Road, Brookfield, Kundalahalli, Near Andhra Bank, 560037",Breakfast Dinner    ,11,+91 80 2854 3071,5993,1374,4,3.075298786
Swing Pub,"100 Ft Road 765, 5th Floor, Bengaluru 560038 India",India,560038,Karnataka,Cafe Asian Contemporary Pub Gastropub    ,,   ,                       ,                            ,12.87945,77.55967,"100 Ft Road, 765, 5th Floor, 560038",     ,1,+91 99020 71249,5993,4431,4,3.010813713
New Lassi Corner,"7 Ulsoor Road, Bengaluru 560042 India",India,560042,Karnataka,Indian Cafe Fast Food      ,Cafe with amenities such as 1) Smoking Zone 2) Music 3)Parking 4)Wheel Chair accessible 5) Party place available,   ,                       ,                            ,12.974657,77.619255,"7 Ulsoor Road, 560042",Lunch Dinner    ,1,+91 94491 69371,5993,2420,5,3.036719561
Bob's Restaurant,"494 8'th Cross Street, Bengaluru 560075 India",India,560075,Karnataka,Chinese        ,,   ,                       ,                            ,12.93108,77.5766,"494 8'th Cross Street, 560075",Lunch Dinner    ,5,+91 80 4116 1228,5993,2118,4,3.044003725
Subway,"36, 3, Near BDA Complex, 14th Main Road, Sector 7, HSR Layout, Bengaluru 560102 India",India,560102,Karnataka,American Fast Food       ,,   ,                       ,                            ,12.91463,77.63818,"36, 3, Near BDA Complex, 14th Main Road, Sector 7, HSR Layout, 560102",     ,10,+91 80 2572 9999,5993,1730,4,3.056577206
Delhi Restaurant,"84 I T P L Main Road K.R. Puram Hobli, Whitefield, Bengaluru 560066 India",India,560066,Karnataka,Indian        ,,   ,                       ,                            ,12.98433,77.74155,"84 I T P L Main Road, K.R. Puram Hobli, Whitefield, 560066",Lunch Dinner    ,8,+91 72598 24051,5993,1470,4.5,3.069140196
Inntense,"Smart Square Complex #3 Feet Road Indiranagar 4th Floor 100 Feet Road, Bengaluru 560038 India",India,560038,Karnataka,Chinese Indian Asian      ,,   ,                       ,                            ,12.983289,77.640366,"Smart Square Complex #3 Feet Road Indiranagar 4th Floor 100 Feet Road, 560038",     ,5,+91 96060 54601,5993,1778,4,3.054900646
Cha Canteen,"10, Abdul Kalam Enclave, Karthik Nagar, Marathahalli Next To Karnataka Bank, Bengaluru 560037 India",India,560037,Karnataka,Indian Cafe Asian      ,"Cha Canteen serves you an a variety of hot tea and coffee along with chilled drinks. We also have selection of Indian street food like stuffed paratha, momos, maggi and sandwiches.",   ,                       ,                            ,12.967136,77.702354,"10, Abdul Kalam Enclave, Karthik Nagar, Marathahalli, Next To Karnataka Bank, 560037",Breakfast Lunch Dinner   ,2,+91 86604 30779,5993,1810,5,3.053677082
Hotel Sri Krishna Sagar,"12/8, Hosur Main Road Opposite To Forum Mall, Koramangala, Bengaluru 560029 India",India,560029,Karnataka,        ,,   ,                       ,                            ,12.96161,77.6066,"12/8, Hosur Main Road, Opposite To Forum Mall, Koramangala, 560029",     ,8,25500036,5993,1724,4,3.056800604
Verve Coffee Lounge,"2nd Floor 132 Thanisandra Main Road, Near Manyata Embassy Business Park, Bengaluru 560077 India",India,560077,Karnataka,        ,"Verve Coffee Lounge- is a perfect venue for those who love the aroma of freshly made caffeine and want to enjoy a fresh brewing cup in their hands. Whether it is to start your day with freshness or to enjoy your evening, witness the beauty of sunset in calm serenity, Verve Coffee Lounge offers a good deal with different types of Cappucino and Tea to make your visit a soothing one.",   ,                       ,                            ,13.044727,77.626434,"2nd Floor 132 Thanisandra Main Road, Near Manyata Embassy Business Park, 560077",Breakfast Lunch Dinner   ,4,+91 80 4646 7008,5993,1952,4,3.048782587
Slug,"2nd floor Manyata tech park - MFAR building Green Heart, Mfar Building, Manyata Tech Park, Bengaluru 560045 India",India,560045,Karnataka,Italian Bar Asian Pub     ,The only restropub in Manyata tech park. We get you the widest variety draft beer. Do come over with your colleagues for corporate hangouts and meetings.,Vegetarian Friendly   ,                       ,Delivery Takeout Reservations Seating Television Serves Alcohol Full Bar Accepts American Express Accepts Mastercard Accepts Visa Table Service                  ,13.044849,77.620964,"2nd floor Manyata tech park - MFAR building, Green Heart, Mfar Building, Manyata Tech Park, 560045",Lunch Dinner Drinks   ,19,+91 99722 51036,5993,1795,3.5,3.054363012
Subway,"92/3 - 1 Mosque Road Next to More Super Market, Frazer Town, Bengaluru 560005 India",India,560005,Karnataka,Cafe Fast Food       ,,   ,                       ,                            ,12.99862,77.61546,"92/3 - 1 Mosque Road, Next to More Super Market, Frazer Town, 560005",     ,5,+91 80 2546 6633,5993,2131,4,3.043782711
Fish Land,"23 Hosur Road, Opposite Madiwala Police Station, Bengaluru 560025 India",India,560025,Karnataka,Seafood        ,,   ,                       ,                            ,12.93579,77.60798,"23 Hosur Road, Opposite Madiwala Police Station, 560025",     ,3,+91 80 2563 1419,5993,2097,4.5,3.044532299
Hari Super Sandwich,"2 National High School Road, Bengaluru 560004 India",India,560004,Karnataka,        ,,   ,Sandwiches                       ,                            ,12.94902,77.57531,"2 National High School Road, 560004",     ,8,+91 99011 17355,5993,1466,4,3.069386959
Lazeez Restaurant,"51 5th Main Opposite Jyoti Nivas College, 15th Block, Koramangala, Bengaluru 560095 India",India,560095,Karnataka,        ,,   ,                       ,                            ,13.03253,77.56749,"51 5th Main, Opposite Jyoti Nivas College, 15th Block, Koramangala, 560095",     ,10,41217034,5993,2142,3.5,3.043530941
Area 78,"Sai Arcade No 4 Wilson Garden Society Layout, Kothnur Main Road, J P Nagar, 7th Phase, RBI East Layout, Bengaluru 560078 India",India,560078,Karnataka,Chinese Indian Fast Food Thai Fusion    ,"Area78 is a Retro Lounge, Pub and Rooftop bar spread across 3 levels with unique themes on each level to suit different needs. Experience spacious seating with separate smoking and non-smoking sections complemented by some great music and a lively environment. Our courteous and trained staff will assist in choosing from a variety of cuisines like Indian/Tandoor, Continental, Chinese/ Oriental etc",   ,                       ,Outdoor Seating                            ,12.91289,77.55939,"Sai Arcade No 4, Wilson Garden Society Layout, Kothnur Main Road, J P Nagar, 7th Phase, RBI East Layout, 560078",     ,3,+91 91489 01555,5993,1954,4.5,3.048686981
Adyar Ananda Bhavan Restaurant,"464 Hosur Road near Narayana Hrudayalaya, Bengaluru 560099 India",India,560099,Karnataka,Indian        ,,   ,                       ,                            ,12.81955,77.67605,"464 Hosur Road, near Narayana Hrudayalaya, 560099",     ,4,+91 93428 11830,5993,1650,4.5,3.059829712
Jimis Beer Cafe,"17/1 Residency Road Top Floor Of Garuda Mall, Opposite RBS Bank, Bengaluru 560025 India",India,560025,Karnataka,Italian Indian Bar Barbecue Pub Fusion   ,,   ,                       ,                            ,12.96838,77.60101,"17/1 Residency Road, Top Floor Of Garuda Mall, Opposite RBS Bank, 560025",Lunch Dinner    ,5,+91 99800 44552,5993,3479,3.5,3.019629478
Rock n Roll,"Brigade Road 3rd Floor, Garuda Mall, Magrath Road, Ashok Nagar, Bengaluru 560025 India",India,560025,Karnataka,        ,,   ,                       ,                            ,12.96984,77.60653,"Brigade Road, 3rd Floor, Garuda Mall, Magrath Road, Ashok Nagar, 560025",     ,3,,5993,2550,4,3.033435345
Leon's Take Away,"202, 3rd A Cross, 2nd Main Road, Banaswadi Near Presidency School, Bengaluru 560043 India",India,560043,Karnataka,Chinese        ,,   ,                       ,                            ,13.01152,77.65197,"202, 3rd A Cross, 2nd Main Road, Banaswadi, Near Presidency School, 560043",     ,5,+91 99722 28645,5993,1851,4.5,3.052544832
Currys & Dosas,"18/2, Ali Askar Road, Near Kingfisher Airlines Building, Cunningham Road, Bengaluru 560052 India",India,560052,Karnataka,        ,,   ,                       ,                            ,12.99038,77.59003,"18/2, Ali Askar Road, Near Kingfisher Airlines Building, Cunningham Road, 560052",     ,2,+91 80 6066 7788,5993,2598,4.5,3.032362223
Maiyas Express,"45, Shri Complex Kavi, Lakshmisha Road, Sajjan Rao Circle, V V Puram, Basavanagudi, Bengaluru 560004 India",India,560004,Karnataka,Fast Food        ,,   ,                       ,                            ,12.94831,77.57346,"45, Shri Complex Kavi, Lakshmisha Road, Sajjan Rao Circle, V V Puram, Basavanagudi, 560004",     ,6,+91 80 2667 0709,5993,2402,4,3.037069798
Tashan the Punjabi Cuisine,"204 4'th Cross Road Kalyannagar, Hrbr Layout, 3rd Phase, Bengaluru 560043 India",India,560043,Karnataka,Indian        ,,Vegetarian Friendly   ,                       ,                            ,12.93082,77.57846,"204 4'th Cross Road, Kalyannagar, Hrbr Layout, 3rd Phase, 560043",Lunch Dinner    ,10,+91 80 4112 5127,5993,2006,3.5,3.047241449
Onesta,"896/4, 1st A Main Road Yelahanka Satellite Town, Sector A, Near Adhiswar Showroom, Bengaluru 560064 India",India,560064,Karnataka,Italian        ,,   ,                       ,                            ,13.098501,77.58482,"896/4, 1st A Main Road, Yelahanka Satellite Town, Sector A, Near Adhiswar Showroom, 560064",     ,6,+91 95137 36259,5993,2052,3.5,3.045526266
Domino's Pizza,"645, 1st Floor, 24th Cross, 24th Main, Next To BDA Complex, Banashankari, Bengaluru 560070 India",India,560070,Karnataka,Pizza        ,,   ,                       ,                            ,12.92403,77.56726,"645, 1st Floor, 24th Cross, 24th Main, Next To BDA Complex, Banashankari, 560070",     ,3,+91 80 2671 0070,5993,2114,4.5,3.044059277
Goli Vada Pav No.1,"Venkateshwara Enterprises # 35 /1B , Shop # 1, Basment,Near spice garden,varthure main road,Munnekolala,, Bengaluru 560037 India",India,560037,Karnataka,Fast Food        ,,   ,                       ,                            ,13.06502,77.54414,"Venkateshwara Enterprises # 35 /1B , Shop # 1, Basment,Near spice garden,varthure main road,Munnekolala,, 560037",     ,6,+91 94488 83129,5993,1823,4,3.05333662
The Mom's Kitchen,"100 Feet Road, Kiadb Building, Near Indian Bank, Jalahalli Cross, Banaglore, Bengaluru India",India,,Karnataka,Chinese        ,,   ,                       ,                            ,12.94787,77.52424,"100 Feet Road, Kiadb Building, Near Indian Bank, Jalahalli Cross, Banaglore",     ,2,+91 81840 38009,5993,3034,4.5,3.024831057
Sri Kamadenu Veg,"No 44, NH 4 Bangalore Rural, Gundenahalli, Bengaluru India",India,,Karnataka,        ,,   ,                       ,                            ,13.06089,77.46123,"No 44, NH 4, Bangalore Rural, Gundenahalli",     ,3,29970660776,5993,2905,4,3.026331186
Fireside: Flame Craft Dining,"2nd Floor, No 5m -444, 5th Main Rd, 2nd Block Hrbr Layout, Kalyan Nagar, Bengaluru 560043 India",India,560043,Karnataka,Steakhouse Seafood Barbecue Grill Fusion South American   ,,   ,                       ,                            ,12.97194,77.59369,"2nd Floor, No 5m -444, 5th Main Rd, 2nd Block Hrbr Layout, Kalyan Nagar, 560043",Lunch Dinner    ,0,9.16E+11,,,,
Mainland China,"5Ac-430, Ground & 1st Floor, 5th A Cross, Service Road, Near Girias Showroom, Hrbr Layout, Bengaluru 560084 India",India,560084,Karnataka,Chinese Asian       ,,   ,                       ,Reservations Seating                           ,13.025671,77.6394,"5Ac-430, Ground & 1st Floor, 5th A Cross, Service Road, Near Girias Showroom, Hrbr Layout, 560084",     ,14,+91 80 2545 1218,5993,2109,3.5,3.044148207
Gourmet West,"The Forum Mall, 1st Floor, Hosur Road, Koramangala, Bengaluru India",India,,Karnataka,        ,,   ,                       ,                            ,12.84496,77.67756,"The Forum Mall, 1st Floor, Hosur Road, Koramangala",     ,5,+91 81470 01037,5993,1936,4,3.049237728
Kargeens,"100 80'th Feet Road 3rd floor Ooty chocolates signal, Koramangala 6th Block, Bengaluru 560095 India",India,560095,Karnataka,Indian        ,,   ,                       ,                            ,12.99864,77.50593,"100 80'th Feet Road, 3rd floor Ooty chocolates signal, Koramangala 6th Block, 560095",     ,5,+91 80 4116 2968,5993,1617,4.5,3.061978579
Chef Baker's,"No 92/3 Outer Ring Road, Near Home Town, Bengaluru 560004 India",India,560004,Karnataka,        ,,   ,                       ,                            ,12.95847,77.70107,"No 92/3 Outer Ring Road, Near Home Town, 560004",     ,4,+91 80 3247 6757,5993,2110,4.5,3.044141531
chinese hut,"High Point Buildings,Race Course Road Bangalore, Bengaluru 560020 India",India,560020,Karnataka,Chinese        ,This restaurant is next to Hotel Chalukya-Bangalore.This restaurant has been serving very tasty authentic chinese food from 1980 and before even,   ,                       ,                            ,12.98385,77.58069,"High Point Buildings,Race Course Road, Bangalore, 560020",Lunch Dinner    ,4,,5993,2979,4,3.025431156
White Elephant,"100 Feet Road 2nd Floor, Bengaluru 560038 India",India,560038,Karnataka,Thai        ,,   ,                       ,                            ,12.97851,77.64083,"100 Feet Road, 2nd Floor, 560038",Dinner     ,4,+91 80 4149 3333,5993,5111,3.5,3.007291079
Fish N Chips,"2, Forum Value Mall, Transit, Food Court, Whitefield, Bengaluru India",India,,Karnataka,Seafood        ,,   ,Fish                       ,                            ,12.96354,77.73269,"2, Forum Value Mall, Transit, Food Court, Whitefield",     ,2,+91 80 2845 1900,5993,3074,4,3.0244596
Distil,"26 - a Lords Plaza Opposite Infosys, Bengaluru 560100 India",India,560100,Karnataka,        ,,   ,                       ,                            ,12.85055,77.65759,"26 - a Lords Plaza, Opposite Infosys, 560100",     ,6,+91 80 4040 8888,5993,1642,4.5,3.060218334
Saha Chowmein,"60 E Block Feet Road Near Canara Bank, Sahakara Nagar, Bengaluru 560092 India",India,560092,Karnataka,Chinese Indian       ,,   ,                       ,                            ,13.05621,77.57347,"60 E Block Feet Road, Near Canara Bank, Sahakara Nagar, 560092",     ,4,+91 80 4173 5375,5993,1431,4.5,3.07101059
Shezan,"1st Floor 68 Near High Gloss Beauty Salon Behind Bangalore Club, Bengaluru 560001 India",India,560001,Karnataka,Chinese        ,,   ,                       ,Reservations                            ,12.98711,77.608,"1st Floor 68 Near High Gloss Beauty Salon, Behind Bangalore Club, 560001",Lunch Dinner    ,7,+91 80 2224 9319,5993,2173,4,3.042613983
Karthik's Mithai shop,"322, Chinmaya Mission Hospital Rd Shalini Complex, Binnamangala, Hoysala Nagar, Indiranagar, Bengaluru 560038 India",India,560038,Karnataka,Indian        ,,   ,                       ,                            ,12.97839,77.63877,"322, Chinmaya Mission Hospital Rd, Shalini Complex, Binnamangala, Hoysala Nagar, Indiranagar, 560038",     ,4,+91 80 4126 4166,5993,1432,4.5,3.070950985
Citrus Cafe,"23 Epip Zone, Whitefield Lemon Tree Hotel, Bengaluru 560066 India",India,560066,Karnataka,Italian Chinese Indian      ,,   ,                       ,Reservations                            ,12.98965,77.71858,"23 Epip Zone, Whitefield, Lemon Tree Hotel, 560066",Breakfast Lunch Dinner Brunch Drinks ,8,+91 80 4331 1555,5993,1998,4,3.047566175
Daily Sushi,"22 Museum Road, Bengaluru 560001 India",India,560001,Karnataka,        ,,   ,                       ,                            ,12.97579,77.60256,"22 Museum Road, 560001",     ,0,+91 96064 51393,,,,
Kabab World,"154, State Highway 35 Yamare Village, Dommasandra, Bengaluru 562125 India",India,562125,Karnataka,        ,,   ,                       ,                            ,12.87972,77.76087,"154, State Highway 35, Yamare Village, Dommasandra, 562125",Lunch Dinner    ,4,+91 78991 16699,5993,1893,4.5,3.050991058
Srinathji's Cafe,"112, Bull Temple Road, Basavanagudi, Bengaluru 560004 India",India,560004,Karnataka,Chinese Fast Food       ,,   ,                       ,                            ,12.9563,77.56746,"112, Bull Temple Road, Basavanagudi, 560004",     ,7,+91 80 2660 0704,5993,1856,4,3.052432299
Food Village,"4 2, 6th Main Road, Bengaluru 560054 India",India,560054,Karnataka,        ,,   ,                       ,                            ,13.03151,77.55105,"4 2, 6th Main Road, 560054",     ,3,,5993,2418,4.5,3.036724091
Home Made Food,"Dickenson Road NB-4, North Block, Ground Floor, Manipal Center, Bengaluru 560001 India",India,560001,Karnataka,        ,,   ,                       ,                            ,12.9803,77.61209,"Dickenson Road, NB-4, North Block, Ground Floor, Manipal Center, 560001",     ,3,+91 99720 26471,5993,1995,5,3.047590733
Alter Ego Cafe,"210, 5th A Cross Road, 3rd Block, HRBR Layout, Kalyannagar, Bengaluru 560043 India",India,560043,Karnataka,Italian American Cafe Mediterranean British    ,A quaint little café that serves some of the lip smacking delicacies from across the world.,   ,                       ,                            ,13.026183,77.63424,"210, 5th A Cross Road, 3rd Block,, HRBR Layout, Kalyannagar, 560043",     ,5,+91 80956 96900,5993,1786,4,3.054723978
What'sinaPita,"Sarjapur Road 2nd floor, MMR Plaza, 98/1 Sarjapur Road, 1st Block Koramangala, Bengaluru 560034 India",India,560034,Karnataka,Lebanese Mediterranean Fusion Middle Eastern     ,"We are a fusion food restaurant blending the traditional and authentic food preparation techniques and values from the Middle East with the influences and requirements of a contemporary lifestyle in India. Our take on food is a fresh one, targeted at people looking for a wholesome and delicious while convenient option for their working day lunches.",   ,                       ,                            ,12.923951,77.63924,"Sarjapur Road, 2nd floor, MMR Plaza, 98/1 Sarjapur Road, 1st Block Koramangala, 560034",Lunch Dinner Brunch Late Night  ,1,+91 91089 74600,5993,4001,4,3.013498068
A2B Veg,"No 34 Bellari Mainroad Hebbal Area, Bengaluru 560054 India",India,560054,Karnataka,Indian        ,,Vegetarian Friendly Vegan Options  ,                       ,Takeout                            ,12.97519,77.53456,"No 34 Bellari Mainroad, Hebbal Area, 560054",Breakfast Lunch    ,20,+91 80 6570 7711,5993,1879,3.5,3.051529884
Kanti Sweets,"New Thippasandra Road, Near Ganesa Temple, Bengaluru India",India,,Karnataka,Indian Fast Food       ,,   ,                       ,                            ,12.97778,77.66641,"New Thippasandra Road, Near Ganesa Temple",     ,14,,5993,1020,4,3.110262632
Give Me 5 Cafe,"3115 Eshwara Layout 13th Cross Double Road Opposite Esi Quaters, Bengaluru 560038 India",India,560038,Karnataka,American        ,,   ,                       ,                            ,12.97867,77.63675,"3115 Eshwara Layout 13th Cross Double Road, Opposite Esi Quaters, 560038",     ,5,+91 91641 16666,5993,1874,4.5,3.051730394
Glassy,"24 - 26 Outer Ring Road Bellandur Village, Varthur Hobli,, Bengaluru 560037 India",India,560037,Karnataka,        ,,   ,                       ,Reservations                            ,12.95719,77.70101,"24 - 26 Outer Ring Road, Bellandur Village, Varthur Hobli,, 560037",Drinks     ,7,+91 80 4933 3000,5993,1412,4,3.072614431
Mast Kalandar,"Ground Floor Opposite Hp Petrol Pump 287 15'th Cross Street JP Nagar, Bengaluru 560078 India",India,560078,Karnataka,        ,,Vegetarian Friendly   ,                       ,                            ,12.90626,77.59049,"Ground Floor Opposite Hp Petrol Pump 287 15'th Cross Street, JP Nagar, 560078",     ,5,+91 80 4110 4644,5993,2628,3.5,3.031846762
Srinidhi Sagar Food Lines,"98 Srinidhi Sagar Food Lines Double Road Indiranagar, Near ESI Hospital, Bengaluru 560038 India",India,560038,Karnataka,        ,,   ,                       ,                            ,12.97387,77.63581,"98 Srinidhi Sagar Food Lines Double Road, Indiranagar, Near ESI Hospital, 560038",Breakfast Lunch Dinner   ,4,+91 80 2525 0408,5993,2460,4.5,3.035623312
Kanti Sweets,"1 6th Main Road, Bengaluru 560011 India",India,560011,Karnataka,Cafe        ,,   ,                       ,                            ,12.99477,77.57149,"1 6th Main Road, 560011",     ,5,+91 80 2296 0607,5993,1556,4.5,3.064520836
Verve,"Royal Orchid Resort And Convention Centre, Allasandra Near Jakkar Flying Club, Bellary Road Royal Orchid Resort, Bengaluru 560065 India",India,560065,Karnataka,Japanese Indian       ,,   ,                       ,                            ,13.10116,77.59868,"Royal Orchid Resort And Convention Centre, Allasandra Near Jakkar Flying Club, Bellary Road, Royal Orchid Resort, 560065",     ,4,+91 80 2856 0668,5993,1781,5,3.054810047
Taj Darbar,"360 Swagath Main Road, Bengaluru 560041 India",India,560041,Karnataka,        ,,   ,                       ,                            ,12.92848,77.59257,"360 Swagath Main Road, 560041",     ,5,22445088,5993,1524,5,3.066127539
Chikkanna Tiffin,"Cubbonpet Main Road Cross Near Ulsoor Gate Police Station, Bengaluru 560002 India",India,560002,Karnataka,        ,,   ,                       ,                            ,12.96996,77.58433,"Cubbonpet Main Road Cross, Near Ulsoor Gate Police Station, 560002",     ,7,+91 98459 17991,5993,1761,4,3.055492878
Sbarro,"Dr Rajkumar Road 3rd Floor, Orion Mall, Brigade Gateway, Bengaluru 560010 India",India,560010,Karnataka,Fast Food        ,,   ,                       ,                            ,13.01052,77.55452,"Dr Rajkumar Road, 3rd Floor, Orion Mall, Brigade Gateway, 560010",     ,2,+91 80 2268 2048,5993,3130,4,3.0237391
Zaafran,"1st Floor Itpl Main Road Opposite Hypercity, Bengaluru 560037 India",India,560037,Karnataka,        ,,   ,                       ,                            ,13.05369,77.50658,"1st Floor Itpl Main Road, Opposite Hypercity, 560037",     ,6,+91 97423 75747,5993,2096,4,3.044555664
Ice Cafe,"No 501 12th Main 1st Phase, Banashankari 2nd Stage, Padmanabhanagar, Bengaluru 560070 India",India,560070,Karnataka,        ,,   ,                       ,                            ,13.01208,77.57666,"No 501 12th Main, 1st Phase, Banashankari 2nd Stage, Padmanabhanagar, 560070",     ,2,+91 80660 35778,5993,2954,4.5,3.025801659
Kabab Mandra,"P1, KSSIDC Industrial Estate, Whitefield Road Next To Phoenix Market City, Bengaluru India",India,,Karnataka,        ,,   ,                       ,                            ,12.95584,77.7155,"P1, KSSIDC Industrial Estate, Whitefield Road, Next To Phoenix Market City",     ,5,+91 80 2853 3041,5993,1789,4,3.054512501
Kalpavriksha Upahara,"38th Cross, Bengaluru 560041 India",India,560041,Karnataka,Chinese        ,,   ,                       ,                            ,12.92164,77.59149,"38th Cross, 560041",     ,3,,5993,3144,4,3.02355504
WYT RestroPub,"M.g. Road, Bengaluru 560025 India",India,560025,Karnataka,Chinese Bar British      ,,   ,                       ,                            ,12.9259,77.5212,"M.g. Road, 560025",Lunch Dinner    ,5,+91 80 4150 1414,5993,2942,4,3.025862932
Just Shawarma,"Saptgagiri Complex Near Christ University, SG Palya, BTM, Bengaluru 560079 India",India,560079,Karnataka,Fast Food        ,,   ,Shawarma                       ,                            ,12.93179,77.607254,"Saptgagiri Complex, Near Christ University, SG Palya, BTM, 560079",     ,5,+91 76767 64422,5993,3891,3,3.014866829
Nandhini Deluxe,"New Bel Rd Raj Mahal Vilas, 2nd Stage, Bengaluru 560094 India",India,560094,Karnataka,        ,,   ,                       ,                            ,13.03636,77.56653,"New Bel Rd, Raj Mahal Vilas, 2nd Stage, 560094",     ,8,23519177,5993,2589,3.5,3.03255415
Barbecue Factory,"100 Feet Road Next To Reliance Digital, Bengaluru 560038 India",India,560038,Karnataka,Indian Barbecue Asian      ,,   ,                       ,Reservations Seating Table Service                          ,12.97851,77.64083,"100 Feet Road, Next To Reliance Digital, 560038",Lunch Dinner    ,20,+91 88676 91746,5993,5874,3,2.870634794
Kanti Sweets,"70, 1st Cross, Hal 3rd Stage, Near Ganesh Temple, New Thippasandra, Bengaluru India",India,,Karnataka,        ,,   ,                       ,                            ,12.97291,77.64756,"70, 1st Cross, Hal 3rd Stage, Near Ganesh Temple, New Thippasandra",     ,12,+91 80664 96510,5993,1198,4,3.089651108
Gundappa Donne Biriyani,"120 / 1 1'st Main Road, Opposite To North End Bar, Bengaluru 560045 India",India,560045,Karnataka,Indian        ,,Halal   ,                       ,Takeout Seating                           ,12.98915,77.57417,"120 / 1 1'st Main Road, Opposite To North End Bar, 560045",Lunch     ,15,+91 98800 23409,5993,5237,3,3.002678394
Mysore Special Chats,"134, 9th Cross, 3rd Main, Margosa Road, Opposite To Lakshmi Villas Bank, Malleshwaram, Bengaluru India",India,,Karnataka,        ,,   ,                       ,                            ,12.91326,77.59251,"134, 9th Cross, 3rd Main, Margosa Road, Opposite To Lakshmi Villas Bank, Malleshwaram",     ,1,+91 98444 07978,5993,3733,5,3.016723871
Punjabi Kitchen,"White Field Main Road, Opposite Vijaya Bank, Bengaluru 560037 India",India,560037,Karnataka,Chinese Indian       ,,   ,                       ,                            ,12.98392,77.72893,"White Field Main Road, Opposite Vijaya Bank, 560037",Dinner     ,12,+91 80 6597 0727,5993,2018,3.5,3.046688795
Red Bowl,"Gopalan Signature Mall, Ground Floor, Old Madras Road, KR Puram, Bengaluru India",India,,Karnataka,Chinese Thai       ,,   ,                       ,                            ,13.01949,77.70823,"Gopalan Signature Mall, Ground Floor, Old Madras Road, KR Puram",     ,5,+91 80 6050 3035,5993,2218,4,3.041452408
Dosa Sagar,"Central Dosa Sagar Brigade Road, Bengaluru 560001 India",India,560001,Karnataka,Indian        ,,   ,                       ,                            ,12.96733,77.60651,"Central Dosa Sagar Brigade Road, 560001",     ,3,+91 95911 19544,5993,2271,4.5,3.040199995
Dosa Camp,"Pavan Complex, 15, B.V.K Iyengar Road, Opposite Rohini Silks, Chikpete, Bengaluru 560053 India",India,560053,Karnataka,Fast Food        ,,   ,                       ,                            ,12.96797,77.57472,"Pavan Complex, 15, B.V.K Iyengar Road, Opposite Rohini Silks, Chikpete, 560053",     ,2,+91 97413 89944,5993,2609,4.5,3.032238007
New Biryani Mane,"Chikkalsandra Uttarahalli Main Road, Bengaluru 560061 India",India,560061,Karnataka,Healthy        ,,   ,                       ,                            ,12.90368,77.49082,"Chikkalsandra Uttarahalli Main Road, 560061",     ,5,+91 98801 50550,5993,2582,4,3.032685518
Leon Grill,"18th Cross Road Near Reliance Digital Sector 3, HSR, Bengaluru 560102 India",India,560102,Karnataka,Fast Food        ,Craving grilled international grub are you? We have you covered in Bangalore. We serve everything that will delight your European and American palette.,   ,                       ,Delivery Takeout Seating Parking Available Street Parking Digital Payments                       ,12.91175,77.63552,"18th Cross Road, Near Reliance Digital Sector 3, HSR, 560102",Breakfast Lunch Dinner   ,5,+91 91088 73135,5993,2739,3.5,3.029633284
Bhikaram Chandmal Restaurant,"3136 13th Cross Hal 2nd Stage, Hal 3rd Stage, Halasuru, Bengaluru 560008 India",India,560008,Karnataka,        ,,   ,                       ,                            ,12.9714,77.63498,"3136 13th Cross, Hal 2nd Stage, Hal 3rd Stage, Halasuru, 560008",Breakfast Lunch Dinner   ,1,22976861,5993,4927,4,3.008504391
Central jail restaurant,"2631, 27th Main Rd, 1st Sector, HSR Layout, Bengaluru 560102 India",India,560102,Karnataka,Indian        ,,   ,                       ,Reservations Seating Digital Payments Accepts Credit Cards                         ,12.962484,77.588455,"2631, 27th Main Rd, 1st Sector, HSR Layout, 560102",Lunch Dinner    ,1,,5993,5284,3,3
Beijing Bites,"14 Indira House 1st Floor New Bel Road Near Icici Bank, Bengaluru 560054 India",India,560054,Karnataka,Chinese Thai       ,,   ,                       ,                            ,13.03372,77.56879,"14 Indira House 1st Floor New Bel Road Near Icici Bank, 560054",Lunch Dinner    ,5,+91 80 4214 8686,5993,2406,4,3.036987305
WXYZ Bar,"Cessna Business Park, Sarjapur-Marathahalli Outer Ring Road, Kadubeesanahalli, Bellandur Post Aloft Bengaluru Cessna Business Park, Bengaluru India",India,,Karnataka,        ,,   ,                       ,Reservations Seating Table Service                          ,,,"Cessna Business Park, Sarjapur-Marathahalli Outer Ring Road, Kadubeesanahalli, Bellandur Post, Aloft Bengaluru Cessna Business Park",     ,12,+91 80 4510 1010,5993,524,5,3.228832006
The Parisian Cafe By Breadworks,"RMZ Campus, The Bay Food Court, 1st Floor, 1st 'B' Block, Whitefield, Bengaluru 560066 India",India,560066,Karnataka,French        ,,   ,                       ,                            ,12.96381,77.7177,"RMZ Campus, The Bay Food Court, 1st Floor, 1st 'B' Block, Whitefield, 560066",     ,1,+91 80 2539 5200,5993,4744,4,3.009323835
